polarity,subjectivity,num_reactions,length,num_words,month,dow,tod
0.125,0.4583333333333333,18,312,59,7,4,20
-0.24583333333333335,0.3208333333333333,1,107,18,7,3,19
-0.4,0.4,50,56,7,7,3,12
0.0,0.0,0,6,1,6,6,16
0.0,0.0,3,1,1,6,0,18
0.0,0.0,0,11,3,6,0,7
0.0,0.0,240,5,1,6,6,9
-0.15555555555555559,0.2888888888888889,5,117,21,6,3,14
0.0,0.0,0,24,5,5,6,22
0.0,0.0,1,7,1,5,5,16
0.0,0.0,2,54,9,5,2,22
0.0,0.0,2,21,4,5,5,14
-0.024999999999999994,0.25,3,174,25,5,4,12
0.07916666666666666,0.5409722222222223,29,822,152,5,5,11
0.25,0.3333333333333333,42,20,4,5,2,15
0.0,0.0,5,25,4,4,3,19
-0.20208333333333334,0.5541666666666667,4,191,34,4,2,0
0.13333333333333333,0.43333333333333335,29,169,30,4,6,12
0.05,0.35,0,41,7,4,4,1
0.0,0.0,2,13,2,4,0,19
0.054861111111111104,0.5597222222222222,6,386,56,4,5,13
0.35,0.4125,5,253,46,4,4,17
0.4,0.9,13,9,1,4,3,15
0.0,0.0,3,5,1,4,2,11
0.0,0.0,32,102,21,4,5,10
0.0,0.0,3,18,3,3,1,22
0.0,0.0,8,5,1,3,3,10
0.0,0.0,4,15,3,3,6,14
-0.075,0.4,5,14,3,3,6,8
-0.6,0.7,6,33,7,2,0,9
0.0,0.0,0,24,5,2,6,20
0.0,0.0,8,53,9,2,4,20
0.0,0.0,6,20,3,2,3,21
0.8,1.0,15,21,3,2,1,17
0.0,0.0,17,39,9,2,5,21
0.0,0.0,20,21,4,2,5,13
0.25,0.2833333333333333,11,90,14,2,5,12
0.2583333333333333,0.44999999999999996,1,229,39,2,1,11
0.5,0.5,1,25,4,2,1,6
0.0,0.0,3,15,2,2,6,12
-0.125,0.25,0,52,9,2,4,8
0.2,0.3,18,46,1,2,2,17
-0.15555555555555559,0.2888888888888889,1,57,10,2,2,16
0.046666666666666676,0.29166666666666663,12,213,39,1,1,9
0.0,0.0,9,5,1,1,4,5
0.0,0.0,18,34,8,1,0,16
0.0,0.0,0,31,4,1,6,7
0.0,0.0,0,15,1,1,5,8
0.0,0.625,1,132,23,1,2,17
0.0,1.0,11,25,6,1,2,10
0.0,0.0,2,18,2,1,0,7
0.1125,0.6333333333333333,14,158,26,1,4,11
0.0,0.0,2,53,9,1,1,12
0.0,0.0,12,13,1,12,2,9
0.0,0.0,1,19,4,12,4,9
0.0,0.0,1,14,2,12,3,14
0.0,0.0,5,22,3,12,2,22
0.0,0.0,1,3,1,12,1,21
0.05833333333333333,0.5541666666666667,5,171,31,12,0,5
0.13636363636363635,0.45454545454545453,8,22,5,12,5,17
-0.15555555555555559,0.2888888888888889,1,50,8,12,5,9
-0.16,0.49333333333333335,120,326,62,12,5,5
-0.2916666666666667,0.5416666666666666,0,76,14,12,3,8
0.0,0.0,0,7,2,12,3,4
0.0,0.0,18,14,2,12,2,5
-0.16666666666666666,0.43333333333333335,3,128,7,12,1,20
0.2,0.30000000000000004,1,116,21,12,1,8
0.0,0.0,13,22,3,12,0,21
0.0,0.0,3,11,2,12,0,20
0.85,0.8,14,84,16,12,0,15
0.0,0.0,6,105,3,12,6,11
-0.1027777777777778,0.21944444444444444,3,174,33,12,5,8
0.0,0.0,4,42,4,12,4,6
0.0,0.0,26,23,3,12,1,16
0.2,0.1,14,24,5,12,1,11
-0.018518518518518535,0.4962962962962963,22,108,17,12,3,12
0.0,0.0,3,19,4,11,2,15
0.0,0.0,2,69,14,11,2,13
0.0,0.0,0,10,1,11,1,12
0.0,0.0,4,43,5,11,0,14
0.0,0.0,7,9,2,11,5,14
-0.6,0.8,0,34,6,11,5,9
0.0,0.0,3,29,6,11,3,12
0.0,0.5,6,218,37,11,1,9
0.05,0.2,4,240,43,11,1,8
0.1,0.2,13,271,51,11,2,21
0.2857142857142857,0.5357142857142857,9,15,3,11,0,14
0.0,0.0,6,131,23,11,4,15
0.25,1.0,5,26,5,11,3,12
-0.2,0.8,1,29,5,11,3,7
0.3,0.45,1,30,5,11,0,6
0.0,0.0,9,12,2,11,0,6
-0.25,1.0,53,35,5,11,5,12
0.0,0.0,3,13,4,11,5,8
0.0,0.0,21,47,10,11,3,16
-0.05,0.4,26,177,34,10,6,7
0.15892857142857142,0.48392857142857143,45,182,34,10,4,12
0.31666666666666665,0.5499999999999999,71,246,42,10,3,18
-0.6,1.0,0,92,19,10,1,6
-0.3,0.6000000000000001,3,149,26,10,0,7
0.0,0.0,14,22,3,10,6,15
0.0,0.0,2,1,1,10,2,10
0.0,0.0,1,13,1,10,1,10
0.09999999999999999,0.5333333333333333,3,84,13,10,6,17
0.0,0.0,2,12,3,9,2,6
0.0,0.0,3,6,1,9,6,18
0.0,0.0,0,43,9,9,6,6
0.0,0.0,16,45,8,9,4,8
-0.08333333333333333,0.25,11,35,7,9,0,15
1.0,1.0,0,2,1,9,6,18
0.0,0.0,10,33,6,9,6,8
0.0,0.0,8,3,1,9,4,17
0.0,0.0,0,1,1,9,0,7
0.09000000000000001,0.6266666666666667,4,130,23,9,4,10
0.0,0.0,2,2,1,9,3,15
0.0,0.1,6,116,18,8,0,20
0.16507936507936508,0.30158730158730157,1,408,63,8,0,9
0.0,0.0,9,27,6,8,6,15
0.1261904761904762,0.5317460317460319,29,679,129,7,0,17
1.0,1.0,2,1,1,7,6,8
-0.09375,0.5,25,47,9,7,3,20
0.0,0.0,8,65,14,7,5,19
0.0,0.0,0,69,1,7,3,22
0.1125,0.7291666666666666,3,93,15,7,1,17
-0.4,0.7,21,250,48,7,1,11
0.19,0.45,15,256,40,7,0,23
0.7,0.6000000000000001,1,74,13,6,2,1
0.0,0.0,2,14,2,6,3,14
0.375,0.5,3,49,8,6,3,0
0.0,0.0,4,19,4,6,1,14
0.0,0.0,3,38,8,6,5,3
0.0,0.0,0,33,6,5,6,17
0.0,0.0,4,25,2,5,1,13
0.4,0.9,3,19,3,5,2,6
-0.6999999999999998,0.6666666666666666,0,17,4,4,5,9
0.0,0.0,8,20,4,4,6,9
0.0,0.0,1,9,1,4,6,8
0.5,0.9,7,58,12,3,2,5
-0.2,0.0,0,161,27,3,6,8
0.25,1.0,7,105,19,3,0,9
0.0,0.0,3,52,9,3,1,19
0.2,0.2,7,35,7,2,0,15
0.0,0.0,4,16,2,2,2,16
-0.08125,0.7,0,173,23,2,2,12
0.1,0.2,2,21,4,2,1,19
0.0,0.0,7,28,5,2,0,19
0.0,0.0,6,3,1,2,4,14
0.0,0.0,5,19,3,1,1,15
0.3875,0.6166666666666667,4,325,63,1,4,15
0.0,0.0,3,3,1,1,0,17
0.2857142857142857,0.5357142857142857,6,54,11,12,4,12
0.054761904761904755,0.4761904761904761,10,112,19,12,6,10
0.10357142857142858,0.4857142857142857,9,71,13,12,4,19
0.0,0.0,9,28,5,12,1,20
0.04999999999999999,0.5,0,88,17,12,1,15
0.0,0.0,4,12,1,11,0,12
-0.2,0.5,2,12,2,11,5,19
0.0,0.1,21,54,9,11,2,8
0.019047619047619053,0.20952380952380953,3,162,28,11,0,7
0.0,0.0,1,31,3,11,5,9
0.0,0.0,9,6,1,11,6,6
0.0,0.4,5,39,6,11,5,22
0.35,0.65,0,24,5,11,4,20
-0.5,1.0,0,6,1,11,3,4
0.0,0.0,11,23,3,10,5,7
0.7,0.9,2,13,1,10,3,19
0.0,0.0,8,20,4,9,0,9
0.0,0.0,9,42,8,8,5,10
0.0,0.0,6,5,1,8,6,16
0.06818181818181818,0.22727272727272727,14,116,21,8,1,18
0.5,0.6,2,16,4,8,6,8
0.6,0.55,5,36,7,7,3,5
0.0,0.0,2,25,4,6,2,9
-0.2,0.2625,5,105,17,6,6,17
0.2464285714285714,0.6922619047619047,13,134,23,5,6,11
0.0,0.0,1,14,2,5,2,10
-0.5,0.5,4,121,21,3,3,7
0.16666666666666666,0.7666666666666666,5,60,12,3,2,6
0.0,0.0,1,9,2,9,5,6
0.0,0.0,1,125,1,9,3,11
0.0,0.0,4,25,5,9,5,13
1.0,1.0,7,34,2,9,0,8
0.0,0.0,1,29,6,8,0,15
-0.6,0.9,18,72,13,8,3,14
0.8,1.0,4,32,7,8,3,5
0.0,0.0,15,28,5,8,4,6
0.0,0.0,12,11,2,8,1,13
-0.6,0.9,0,54,11,8,2,4
0.0,0.0,2,22,2,8,0,6
0.35,0.65,6,57,9,8,6,12
-0.03125,0.5104166666666666,5,239,52,8,6,11
0.0,0.0,5,33,5,8,4,20
0.0,0.0,1,32,3,8,4,8
0.0,1.0,25,38,8,7,1,8
-0.6,1.0,0,8,1,7,0,15
0.0,0.0,3,21,3,7,0,5
0.225,0.65,0,29,6,7,6,19
0.0,0.0,6,27,4,7,5,17
0.0,0.0,2,38,7,7,2,16
0.4,0.9,2,15,2,7,2,5
0.0,0.0,14,20,3,6,0,13
0.0,0.0,11,23,5,6,6,6
0.0,0.0,12,10,2,6,5,14
0.0,0.0,4,22,4,6,6,16
0.0,0.0,73,28,4,6,3,7
-0.044761904761904774,0.6476190476190476,19,730,135,6,3,16
-0.18750000000000003,0.5,3,10,2,6,1,15
0.14285714285714285,0.26785714285714285,0,73,11,6,5,8
0.0,0.0,4,7,1,6,4,9
-0.006190476190476191,0.5038095238095238,9,248,45,6,3,9
0.0,1.0,2,33,6,5,6,18
0.25,0.3333333333333333,2,19,3,5,2,11
-0.15555555555555559,0.2888888888888889,3,55,12,5,2,12
-0.15,0.4,1,20,4,4,5,16
1.0,1.0,0,22,2,4,3,18
-0.2,0.8,18,28,4,4,5,16
0.0,0.0,5,14,2,3,5,22
0.3333333333333333,0.5,2,23,3,3,1,17
0.0,0.0,7,5,1,3,0,14
-0.4,0.4,17,96,17,3,5,13
-0.6999999999999998,0.6666666666666666,3,30,6,3,6,17
0.0,0.0,5,37,8,2,2,10
-0.4,0.7,11,74,15,2,1,14
-0.15000000000000002,0.5,2,25,4,2,3,8
0.0,0.0,0,14,3,2,1,16
0.0,0.0,2,46,8,2,5,18
0.0,0.0,1,76,1,2,2,12
0.5,0.5,1,18,2,2,1,10
0.0,0.0,0,4,1,2,0,6
0.5,0.5,7,56,10,2,0,6
0.25,0.3,0,5,1,1,4,8
0.0,0.0,0,23,4,1,3,5
0.0,0.0,0,5,1,1,1,18
0.0,0.0,0,4,1,1,1,10
0.3,0.2,2,22,4,12,5,6
0.625,0.5,8,18,4,12,5,14
-0.1,0.6,0,92,16,12,3,7
0.0,0.3125,4,64,10,12,6,18
0.0,0.0,1,45,7,12,3,17
0.8,0.7,1,19,5,12,3,17
0.9,0.9,0,65,11,12,2,17
0.04999999999999999,0.4,1,12,2,12,0,21
0.1,0.5,2,105,16,12,0,18
-0.3,0.6,1,48,8,12,4,18
0.0,0.0,7,53,9,12,2,20
1.0,0.7,0,29,5,12,6,10
0.75,0.75,10,33,7,11,2,6
0.0,0.0,1,16,3,11,6,5
-0.02500000000000005,0.5333333333333333,7,28,7,11,5,16
0.0,0.0,1,35,1,11,2,15
0.35606060606060613,0.5799242424242425,2,200,34,11,6,20
0.0,0.0,5,40,8,11,4,21
0.0,0.0,4,8,1,11,4,15
0.31666666666666665,0.6000000000000001,2,50,9,11,3,10
0.25,0.3,1,5,1,11,2,19
-0.5,1.0,0,4,1,11,2,19
0.0,0.0,4,23,4,11,5,5
0.16666666666666669,0.3333333333333333,24,103,20,11,4,13
0.0,0.0,0,42,1,10,4,19
1.0,1.0,11,15,4,10,3,7
0.0,0.0,16,123,28,10,4,9
0.0,0.2,9,32,3,10,3,11
0.0,0.0,61,32,7,10,2,7
0.0,0.0,2,13,1,10,5,14
0.0,0.0,2,10,1,10,5,14
0.0375,0.4166666666666667,16,147,27,10,1,21
0.3333333333333333,0.21666666666666665,11,149,28,9,0,12
-0.08333333333333333,0.08333333333333333,6,85,15,9,0,7
0.1,0.2,28,36,6,8,4,16
0.0,0.0,30,30,4,8,6,8
0.0,0.0,1,18,2,8,5,13
0.0,0.3,24,54,8,6,1,6
0.0,0.0,0,5,1,5,1,8
0.0,0.0,0,1,1,5,1,8
0.0,0.0,0,6,1,5,1,8
0.0,0.0,0,2,1,5,1,8
0.0,0.0,0,7,2,5,1,8
0.0,0.0,0,3,1,5,1,8
0.0,0.0,0,7,1,5,0,18
0.0,0.0,0,6,1,5,0,18
0.0,0.0,0,6,1,4,4,12
0.0,0.0,0,12,3,3,3,21
0.0,0.0,1,5,1,3,3,20
-0.2,0.35,0,31,7,3,3,20
0.3,0.2,0,22,5,3,5,7
0.25,0.3333333333333333,18,11,2,3,4,8
1.0,0.3,1,23,5,2,6,19
0.0,0.0,0,22,5,2,5,16
0.0,0.0,4,46,10,2,4,4
-0.09,0.4780952380952382,4,264,43,2,0,19
0.5,1.0,39,15,3,1,0,11
-0.35,0.1,11,24,5,1,4,10
-0.35,0.1,11,24,5,12,6,6
0.0,0.0,169,21,4,12,2,3
0.0,0.0,1,9,2,4,5,23
0.0,0.0,0,36,8,3,5,11
0.25,0.3,1,5,1,3,6,11
0.225,0.45,0,101,19,2,0,14
0.0,0.0,0,18,3,2,0,9
0.40727272727272723,0.5533333333333333,1,201,35,1,5,16
0.4375,0.65,4,8,2,1,1,13
0.28125,0.41666666666666663,13,21,4,1,6,11
0.3,0.1,7,133,23,11,1,21
-0.15000000000000002,0.7,0,90,16,10,2,12
1.0,1.0,0,23,4,10,6,15
0.0,0.0,3,119,26,10,4,21
0.0,0.3,4,94,14,10,2,0
0.0,0.0,7,46,9,9,6,15
0.0,0.0,2,27,5,8,1,7
0.3125,0.3333333333333333,94,194,34,8,6,15
0.0,0.0,0,42,1,8,5,10
-0.35,0.25,0,147,25,7,3,11
0.0,0.0,1,53,6,7,6,8
0.3125,1.0,11,69,12,7,5,16
0.0,0.0,0,58,10,7,2,21
0.25,0.3,5,88,15,7,4,3
1.0,1.0,2,8,1,6,2,8
0.0,0.0,2,7,2,6,4,19
0.040000000000000015,0.5333333333333333,14,141,27,6,4,4
0.0,0.0,0,12,1,6,4,9
1.0,0.7,4,36,5,6,4,4
0.6,1.0,0,25,3,6,3,16
0.0,0.0,0,17,4,6,0,15
0.4166666666666667,0.4777777777777778,11,24,4,6,2,14
0.0,0.0,7,55,14,5,5,18
0.47857142857142854,0.7857142857142857,1,62,10,5,6,10
0.0,0.0,0,38,7,5,4,20
0.75,1.0,2,29,6,5,3,17
0.0,0.0,0,17,4,5,1,13
0.5,0.6,3,22,5,5,0,23
0.45,0.75,3,43,7,5,6,15
0.0,0.0,7,84,17,4,4,19
0.0,0.0,2,17,3,4,1,3
0.2857142857142857,0.5357142857142857,0,23,5,4,3,12
-0.75,0.95,1,78,16,4,3,5
0.5,1.0,1,21,3,4,3,4
0.0,0.0,2,66,1,4,0,15
0.16,0.5399999999999999,0,27,6,4,0,14
0.5270833333333333,0.6333333333333333,9,79,16,3,4,18
0.17045454545454544,0.45454545454545453,6,46,9,3,4,16
0.0,0.0,0,27,1,3,2,9
0.7,0.6000000000000001,1,19,4,3,2,9
